section,pde,mesh,method,error_pct,median_error_pct,method_ms,fom,fom_error_pct,fom_ms,speedup,clock,norm,note,source,job_id
NM-ROM,Navier–Stokes 2D,256² periodic points,neural_q512,6.013960487628244,2.437667490991507,52592.33822708484,fom_ntol0.001,0.004130302241437376,421.2693589506671,0.008010089932333814,GPU,initial vorticity L2; evolved times,Exploratory after the representation gate failed; q=512 reaches full-bank capacity. Initial-fit convergence is not implied by zero evolution budget exits.,worktrees/2026-09-17-ns2d/experiments/ns2d/artifacts/ns304/result.json,3808502
NM-ROM,Low-viscosity Burgers 2D,256² intervals,q0_M1088_dense_g1em06,9.049969033074174,,557.4454519664869,nt1e-2_dt01,3.895041256551319,13.983563985675573,0.02508508040804009,GPU,initial-field L2; evolved times,"Fixed-test ladder. Under-resolved mesh: this is a comparison to the same discrete equation, not a resolved physical-accuracy claim.",worktrees/2026-09-17-b-lowvisc/experiments/b-lowvisc/reports/summary.json,3817807
NM-ROM,Low-viscosity Burgers 2D,256² intervals,q256_M1088_dense_g1em06,6.671830943932594,,1810.2724055061117,nt1e-2_dt01,3.895041256551319,13.983563985675573,0.0077245634099836384,GPU,initial-field L2; evolved times,"Fixed-test ladder. Under-resolved mesh: this is a comparison to the same discrete equation, not a resolved physical-accuracy claim.",worktrees/2026-09-17-b-lowvisc/experiments/b-lowvisc/reports/summary.json,3817807
NM-ROM,Burgers 3D,33³ nodes,rom_q0,8.987516215926142,4.007294229531031,223.39240997098386,fom_n33_dt0.025_nt3e-02_lt5e-01,3.928483010545637,4.670946975238621,0.020909157011401256,GPU,initial-field L2; evolved times,Provisional development results; final cohort unopened. First of two independently trained checkpoints. Spatial refinement misses the physical-reference target.,worktrees/2026-09-20-paper-b3d/experiments/paper-b3d/runs/b3d005/collected/out/seed0/result.json,3997404
NM-ROM,Burgers 3D,33³ nodes,rom_q192,2.434514802964599,1.0933158846520095,379.6556950546801,fom_n33_dt0.01_nt1e-02_lt5e-01,1.882021117890396,8.743587415665388,0.023030307538007794,GPU,initial-field L2; evolved times,Provisional development results; final cohort unopened. First of two independently trained checkpoints. Spatial refinement misses the physical-reference target.,worktrees/2026-09-20-paper-b3d/experiments/paper-b3d/runs/b3d005/collected/out/seed0/result.json,3997404
Neural operators,Burgers 3D,33³ nodes,deeponet3d,14.953015691062435,7.313910939858024,2.604709006845951,fom_n33_dt0.05_nt3e-02_lt5e-01,8.99819399833801,3.959772060625255,1.5202358690424898,GPU,initial-field L2; evolved times,Provisional development results; final cohort unopened. First of two independently trained checkpoints. Spatial refinement misses the physical-reference target.,worktrees/2026-09-20-paper-b3d/experiments/paper-b3d/runs/b3d005/collected/out/seed0/result.json,3997404
Neural operators,Burgers 3D,33³ nodes,fno3d,2.499540991317356,1.6599484376708435,6.065141991712153,fom_n33_dt0.01_nt1e-02_lt5e-01,1.882021117890396,8.743587415665388,1.441612979154199,GPU,initial-field L2; evolved times,Provisional development results; final cohort unopened. First of two independently trained checkpoints. Spatial refinement misses the physical-reference target.,worktrees/2026-09-20-paper-b3d/experiments/paper-b3d/runs/b3d005/collected/out/seed0/result.json,3997404
Neural operators,Burgers 3D,33³ nodes,transolver3d,2.148732282874833,1.4675341374560589,3.575348062440753,fom_n33_dt0.01_nt1e-02_lt5e-01,1.882021117890396,8.743587415665388,2.4455206214794307,GPU,initial-field L2; evolved times,Provisional development results; final cohort unopened. First of two independently trained checkpoints. Spatial refinement misses the physical-reference target.,worktrees/2026-09-20-paper-b3d/experiments/paper-b3d/runs/b3d005/collected/out/seed0/result.json,3997404
Neural operators,Burgers 3D,33³ nodes,unet3d,2.6574527172689195,1.6261073729556736,2.17442458961159,fom_n33_dt0.01_nt1e-02_lt5e-01,1.882021117890396,8.743587415665388,4.021104000312665,GPU,initial-field L2; evolved times,Provisional development results; final cohort unopened. First of two independently trained checkpoints. Spatial refinement misses the physical-reference target.,worktrees/2026-09-20-paper-b3d/experiments/paper-b3d/runs/b3d005/collected/out/seed0/result.json,3997404
NM-ROM,Heat 3D,32³ intervals,nmrom_K32_q0_dense,6.013449855609233,1.148556613585076,34.77085009217262,dst_exact,0.0,1.428322633728385,0.04107816259717847,GPU,current-field L2; evolved times,Provisional development results; final cohort unopened.,worktrees/2026-09-20-paper-h3d/experiments/paper-h3d/runs/extra03/archive/out/result.json,3995709
NM-ROM,Heat 3D,32³ intervals,nmrom_K32_q96_dense,1.3791060967554007,0.3990833890901416,114.34307065792382,dst_exact,0.0,1.428322633728385,0.012491553930727014,GPU,current-field L2; evolved times,Provisional development results; final cohort unopened.,worktrees/2026-09-20-paper-h3d/experiments/paper-h3d/runs/extra03/archive/out/result.json,3995709
Linear endpoints,Heat 3D,32³ intervals,linear_bank_galerkin_exact,1.3323801105533206,0.25681561448237766,0.18679816275835037,dst_exact,0.0,1.428322633728385,7.646341980226651,GPU,current-field L2; evolved times,Provisional development results; final cohort unopened.,worktrees/2026-09-20-paper-h3d/experiments/paper-h3d/runs/extra03/archive/out/result.json,3995709
Neural operators,Heat 3D,32³ intervals,deeponet3d_r128_w16,21.76923177226799,7.16513986141996,3.888949053362012,dst_exact,0.0,1.428322633728385,0.36727728086167505,GPU,current-field L2; evolved times,Provisional development results; final cohort unopened.,worktrees/2026-09-20-paper-h3d/experiments/paper-h3d/runs/extra03/archive/out/result.json,3995709
Neural operators,Heat 3D,32³ intervals,fno3d_w16_m6,0.3946858213886528,0.2448817179523926,10.638271924108267,dst_exact,0.0,1.428322633728385,0.13426265505505128,GPU,current-field L2; evolved times,Provisional development results; final cohort unopened.,worktrees/2026-09-20-paper-h3d/experiments/paper-h3d/runs/extra03/archive/out/result.json,3995709
Neural operators,Heat 3D,32³ intervals,transolver3d_w48_s32,1.482593938424273,1.0619380978272321,6.282191723585129,dst_exact,0.0,1.428322633728385,0.2273605608638235,GPU,current-field L2; evolved times,Provisional development results; final cohort unopened.,worktrees/2026-09-20-paper-h3d/experiments/paper-h3d/runs/extra03/archive/out/result.json,3995709
Neural operators,Heat 3D,32³ intervals,unet3d_w8,0.31849976817723724,0.16966420273902436,4.37296275049448,dst_exact,0.0,1.428322633728385,0.32662584047094273,GPU,current-field L2; evolved times,Provisional development results; final cohort unopened.,worktrees/2026-09-20-paper-h3d/experiments/paper-h3d/runs/extra03/archive/out/result.json,3995709
NM-ROM,Poisson 3D,32³ intervals,nmrom_K16_q0_dense,0.9703844919982533,0.2281143039470507,2.4873907677829266,dst_exact,0.0,0.180704053491354,0.07264803577783639,GPU,current-field L2; steady state,Provisional development results; final cohort unopened.,worktrees/2026-09-20-paper-p3d/experiments/paper-p3d/runs/seed04/archive/out/result.json,3996479
NM-ROM,Poisson 3D,32³ intervals,nmrom_K16_q96_dense,0.17647197924961947,0.04832849027512359,2.588632283732295,dst_exact,0.0,0.180704053491354,0.06980676808635583,GPU,current-field L2; steady state,Provisional development results; final cohort unopened.,worktrees/2026-09-20-paper-p3d/experiments/paper-p3d/runs/seed04/archive/out/result.json,3996479
Linear endpoints,Poisson 3D,32³ intervals,linear_bank_galerkin,0.1443006226026346,0.04626179699364721,0.21822098642587662,dst_exact,0.0,0.180704053491354,0.828078254300871,GPU,current-field L2; steady state,Provisional development results; final cohort unopened.,worktrees/2026-09-20-paper-p3d/experiments/paper-p3d/runs/seed04/archive/out/result.json,3996479
Neural operators,Poisson 3D,32³ intervals,deeponet3d_r128_w16,3.568320309338429,1.3220633042118437,2.7779967058449984,dst_exact,0.0,0.180704053491354,0.06504833253082935,GPU,current-field L2; steady state,Provisional development results; final cohort unopened.,worktrees/2026-09-20-paper-p3d/experiments/paper-p3d/runs/seed04/archive/out/result.json,3996479
Neural operators,Poisson 3D,32³ intervals,fno3d_w24_m8,0.2365559714807757,0.13488248861336105,11.208564275875688,dst_exact,0.0,0.180704053491354,0.016121962549680447,GPU,current-field L2; steady state,Provisional development results; final cohort unopened.,worktrees/2026-09-20-paper-p3d/experiments/paper-p3d/runs/seed04/archive/out/result.json,3996479
Neural operators,Poisson 3D,32³ intervals,transolver3d_w48_s32,0.7639276863254466,0.5088812109978852,4.162262659519911,dst_exact,0.0,0.180704053491354,0.04341486068353913,GPU,current-field L2; steady state,Provisional development results; final cohort unopened.,worktrees/2026-09-20-paper-p3d/experiments/paper-p3d/runs/seed04/archive/out/result.json,3996479
Neural operators,Poisson 3D,32³ intervals,unet3d_w16,0.23101272127165387,0.16435393134236528,3.870986867696047,dst_exact,0.0,0.180704053491354,0.046681649839568254,GPU,current-field L2; steady state,Provisional development results; final cohort unopened.,worktrees/2026-09-20-paper-p3d/experiments/paper-p3d/runs/seed04/archive/out/result.json,3996479
NM-ROM,Navier–Stokes 3D,32³ periodic points,nmrom_q0,50.47575802747145,28.531936994856384,779.2309204814956,fom_dt0.008,0.3597750934912201,3.8932496681809425,0.0049962720495937965,GPU,initial-field L2; evolved times,Provisional development results; final cohort unopened. Representation target failed. New paired fields pass numerical auditing; the separately retained strict cross-run replay gate failed.,worktrees/2026-09-20-paper-ns3d/experiments/ns3d/runs/extra03/collected/output/result.json,3995695
NM-ROM,Navier–Stokes 3D,32³ periodic points,nmrom_q128,45.33479058181311,25.266389327588602,1865.9993754699826,fom_dt0.008,0.3597750934912201,3.8932496681809425,0.002086415311473705,GPU,initial-field L2; evolved times,Provisional development results; final cohort unopened. Representation target failed. New paired fields pass numerical auditing; the separately retained strict cross-run replay gate failed.,worktrees/2026-09-20-paper-ns3d/experiments/ns3d/runs/extra03/collected/output/result.json,3995695
Neural operators,Navier–Stokes 3D,32³ periodic points,deeponet3d_projected,44.84495724287284,35.889356284130905,4.372066934593022,fom_dt0.008,0.3597750934912201,3.8932496681809425,0.8904826313102522,GPU,initial-field L2; evolved times,Provisional development results; final cohort unopened. Representation target failed. New paired fields pass numerical auditing; the separately retained strict cross-run replay gate failed.,worktrees/2026-09-20-paper-ns3d/experiments/ns3d/runs/extra03/collected/output/result.json,3995695
Neural operators,Navier–Stokes 3D,32³ periodic points,fno3d_projected,1.5120686726328822,1.0973584490257606,8.969507878646255,fom_dt0.008,0.3597750934912201,3.8932496681809425,0.4340538768519975,GPU,initial-field L2; evolved times,Provisional development results; final cohort unopened. Representation target failed. New paired fields pass numerical auditing; the separately retained strict cross-run replay gate failed.,worktrees/2026-09-20-paper-ns3d/experiments/ns3d/runs/extra03/collected/output/result.json,3995695
Neural operators,Navier–Stokes 3D,32³ periodic points,transolver3d_projected,2.036647628931372,1.3773442870128507,3.3980205189436674,fom_dt0.008,0.3597750934912201,3.8932496681809425,1.1457404822826749,GPU,initial-field L2; evolved times,Provisional development results; final cohort unopened. Representation target failed. New paired fields pass numerical auditing; the separately retained strict cross-run replay gate failed.,worktrees/2026-09-20-paper-ns3d/experiments/ns3d/runs/extra03/collected/output/result.json,3995695
Neural operators,Navier–Stokes 3D,32³ periodic points,unet3d_projected,4.282977504778358,3.041419104831069,2.0937154768034816,fom_dt0.008,0.3597750934912201,3.8932496681809425,1.8594931886947919,GPU,initial-field L2; evolved times,Provisional development results; final cohort unopened. Representation target failed. New paired fields pass numerical auditing; the separately retained strict cross-run replay gate failed.,worktrees/2026-09-20-paper-ns3d/experiments/ns3d/runs/extra03/collected/output/result.json,3995695
Neural operators,"Navier–Stokes 3D, augmented training",32³ periodic points,deeponet3d_increment_projected,64.32941549049474,58.67984846452783,4.274010541848838,fom_dt0.02,49.217058127993475,1.882920041680336,0.4405510990775021,GPU,initial velocity L2; evolved times,Provisional development. Later training-coverage experiment with its own paired FOM. No new NM-ROM rollout passed the representation gate in this attempt.,worktrees/2026-09-20-paper-ns3d/experiments/ns3d/runs/coverage04/collected/output/result.json,3997427
Neural operators,"Navier–Stokes 3D, augmented training",32³ periodic points,fno3d_increment_projected,0.4703340360460194,0.2647860354854978,9.089472470805049,fom_dt0.008,0.3597750934912205,3.700616885907948,0.40713219582260163,GPU,initial velocity L2; evolved times,Provisional development. Later training-coverage experiment with its own paired FOM. No new NM-ROM rollout passed the representation gate in this attempt.,worktrees/2026-09-20-paper-ns3d/experiments/ns3d/runs/coverage04/collected/output/result.json,3997427
Neural operators,"Navier–Stokes 3D, augmented training",32³ periodic points,transolver3d_increment_projected,2.6909225738958265,1.9810871853860477,3.276727511547506,fom_dt0.01,0.6283990150918635,3.101733047515154,0.9465947463084268,GPU,initial velocity L2; evolved times,Provisional development. Later training-coverage experiment with its own paired FOM. No new NM-ROM rollout passed the representation gate in this attempt.,worktrees/2026-09-20-paper-ns3d/experiments/ns3d/runs/coverage04/collected/output/result.json,3997427
Neural operators,"Navier–Stokes 3D, augmented training",32³ periodic points,unet3d_increment_projected,2.044066181095276,1.6080997585363705,1.9084690138697624,fom_dt0.01,0.6283990150918635,3.101733047515154,1.6252467422700436,GPU,initial velocity L2; evolved times,Provisional development. Later training-coverage experiment with its own paired FOM. No new NM-ROM rollout passed the representation gate in this attempt.,worktrees/2026-09-20-paper-ns3d/experiments/ns3d/runs/coverage04/collected/output/result.json,3997427
